"Location";"Year";"in_out";"N";"N_t_plus_one";"lambda";"delta_N";"Adult_survival";"Fledgling_to_rec";"Nestling_to_fledge";"Nestlings_born"
"30";"gjerøy";2008;1;121;107;0.884297520661157;-14;57;11;27;80
"31";"gjerøy";2009;1;107;136;1.27102803738318;29;63;32;47;131
"32";"gjerøy";2010;1;136;144;1.05882352941176;8;72;39;57;150
"33";"gjerøy";2011;1;144;196;1.36111111111111;52;89;40;90;170
"34";"gjerøy";2012;1;196;168;0.857142857142857;-28;82;37;96;211
"35";"gjerøy";2013;1;168;67;0.398809523809524;-101;37;9;40;90
"36";"gjerøy";2014;1;67;34;0.507462686567164;-33;18;6;12;50
"37";"gjerøy";2015;1;34;38;1.11764705882353;4;13;7;12;20
"38";"gjerøy";2016;1;38;19;0.5;-19;9;3;8;13
"39";"gjerøy";2017;1;19;41;2.15789473684211;22;17;0;0;2
"40";"gjerøy";2018;1;41;53;1.29268292682927;12;21;10;13;42
"41";"gjerøy";2019;1;53;118;2.22641509433962;65;27;5;12;29
"42";"hestmannøy";1998;1;118;154;1.30508474576271;36;48;24;46;109
"43";"hestmannøy";1999;1;154;121;0.785714285714286;-33;68;16;23;94
"44";"hestmannøy";2000;1;121;141;1.16528925619835;20;63;15;24;80
"45";"hestmannøy";2001;1;141;81;0.574468085106383;-60;53;5;16;57
"46";"hestmannøy";2002;1;81;191;2.35802469135802;110;38;20;36;109
"47";"hestmannøy";2003;1;191;88;0.460732984293194;-103;46;16;37;119
"48";"hestmannøy";2004;1;88;166;1.88636363636364;78;60;26;42;109
"49";"hestmannøy";2005;1;166;133;0.801204819277108;-33;81;11;28;114
"50";"hestmannøy";2006;1;133;172;1.29323308270677;39;92;24;43;158
"51";"hestmannøy";2007;1;172;153;0.88953488372093;-19;98;12;52;177
"52";"hestmannøy";2008;1;153;157;1.02614379084967;4;86;13;28;98
"53";"hestmannøy";2009;1;157;214;1.36305732484076;57;86;42;79;192
"54";"hestmannøy";2010;1;214;283;1.32242990654206;69;150;28;49;141
"55";"hestmannøy";2011;1;283;156;0.551236749116608;-127;75;29;102;253
"56";"hestmannøy";2012;1;156;112;0.717948717948718;-44;63;11;26;76
"57";"hestmannøy";2013;1;112;112;1;0;47;17;44;99
"58";"hestmannøy";2014;1;112;178;1.58928571428571;66;62;17;20;63
"59";"hestmannøy";2015;1;178;94;0.528089887640449;-84;68;5;13;51
"60";"hestmannøy";2016;1;94;117;1.24468085106383;23;62;8;16;40
"61";"hestmannøy";2017;1;117;133;1.13675213675214;16;56;17;34;95
"62";"hestmannøy";2018;1;133;120;0.902255639097744;-13;70;26;45;130
"63";"hestmannøy";2019;1;120;51;0.425;-69;58;30;97;181
"64";"indre kvarøy";1998;1;51;51;1;0;26;9;14;36
"65";"indre kvarøy";1999;1;51;32;0.627450980392157;-19;15;6;16;46
"66";"indre kvarøy";2000;1;32;40;1.25;8;19;1;3;9
"67";"indre kvarøy";2001;1;40;38;0.95;-2;21;3;11;35
"68";"indre kvarøy";2002;1;38;50;1.31578947368421;12;16;10;23;54
"69";"indre kvarøy";2003;1;50;31;0.62;-19;21;6;15;30
"70";"indre kvarøy";2004;1;31;58;1.87096774193548;27;27;2;8;22
"71";"indre kvarøy";2005;1;58;39;0.672413793103448;-19;26;8;11;48
"72";"indre kvarøy";2006;1;39;57;1.46153846153846;18;31;7;13;37
"73";"indre kvarøy";2007;1;57;68;1.19298245614035;11;26;4;17;42
"74";"indre kvarøy";2008;1;68;41;0.602941176470588;-27;15;12;42;80
"75";"indre kvarøy";2009;1;41;60;1.46341463414634;19;26;1;2;6
"76";"indre kvarøy";2010;1;60;129;2.15;69;36;26;44;86
"77";"indre kvarøy";2011;1;129;65;0.503875968992248;-64;32;2;16;33
"78";"indre kvarøy";2012;1;65;70;1.07692307692308;5;39;11;24;60
"79";"indre kvarøy";2013;1;70;67;0.957142857142857;-3;32;22;50;86
"80";"indre kvarøy";2014;1;67;102;1.52238805970149;35;38;25;50;85
"81";"indre kvarøy";2015;1;102;76;0.745098039215686;-26;48;13;31;68
"82";"indre kvarøy";2016;1;76;80;1.05263157894737;4;50;20;47;75
"83";"indre kvarøy";2017;1;80;58;0.725;-22;34;12;33;73
"84";"indre kvarøy";2018;1;58;40;0.689655172413793;-18;20;5;14;45
"85";"indre kvarøy";2019;1;40;36;0.9;-4;16;4;9;32
"86";"lovund";1999;0;44;16;0.363636363636364;-28;2;6;30;91
"87";"lovund";2003;0;44;51;1.15909090909091;7;13;10;18;61
"88";"lovund";2004;0;51;29;0.568627450980392;-22;17;2;7;37
"89";"lovund";2005;0;29;44;1.51724137931034;15;16;11;17;55
"90";"lovund";2006;0;44;27;0.613636363636364;-17;14;5;10;36
"91";"lovund";2007;0;27;29;1.07407407407407;2;9;6;6;23
"92";"lovund";2008;0;29;28;0.96551724137931;-1;13;3;10;27
"93";"lovund";2009;0;28;60;2.14285714285714;32;15;9;28;53
"94";"lovund";2010;0;60;52;0.866666666666667;-8;18;12;23;47
"95";"lovund";2011;0;52;27;0.519230769230769;-25;19;9;23;75
"96";"lovund";2012;0;27;92;3.40740740740741;65;20;11;15;33
"97";"lovund";2013;0;92;26;0.282608695652174;-66;22;8;31;69
"98";"lovund";2014;0;26;46;1.76923076923077;20;16;11;25;56
"99";"lovund";2015;0;46;37;0.804347826086957;-9;25;4;11;40
"100";"lovund";2016;0;37;45;1.21621621621622;8;16;10;19;44
"101";"lovund";2017;0;45;36;0.8;-9;19;8;23;70
"102";"lovund";2018;0;36;25;0.694444444444444;-11;9;5;14;94
"103";"lovund";2019;0;25;48;1.92;23;12;6;16;33
"104";"myken";2004;0;25;37;1.48;12;13;4;7;19
"105";"myken";2005;0;37;27;0.72972972972973;-10;14;4;8;41
"106";"myken";2006;0;27;32;1.18518518518519;5;12;4;11;31
"107";"myken";2007;0;32;22;0.6875;-10;6;4;13;22
"108";"myken";2008;0;22;13;0.590909090909091;-9;4;5;16;31
"109";"myken";2009;0;13;22;1.69230769230769;9;5;4;8;12
"110";"myken";2010;0;22;27;1.22727272727273;5;10;9;13;33
"111";"myken";2011;0;27;36;1.33333333333333;9;13;8;35;67
"112";"myken";2012;0;36;10;0.277777777777778;-26;5;4;23;47
"113";"myken";2013;0;10;1;0.1;-9;2;2;12;16
"114";"myken";2015;0;6;13;2.16666666666667;7;4;5;9;10
"115";"myken";2016;0;13;6;0.461538461538462;-7;7;3;13;27
"116";"myken";2017;0;6;21;3.5;15;5;2;2;10
"117";"myken";2018;0;21;8;0.380952380952381;-13;2;0;6;24
"118";"myken";2019;0;8;26;3.25;18;5;3;4;5
"119";"nesøy";1998;1;26;19;0.730769230769231;-7;19;0;6;18
"120";"nesøy";1999;1;19;28;1.47368421052632;9;14;5;6;18
"121";"nesøy";2000;1;28;26;0.928571428571429;-2;19;3;5;19
"122";"nesøy";2001;1;26;24;0.923076923076923;-2;16;2;5;18
"123";"nesøy";2002;1;24;14;0.583333333333333;-10;6;1;3;13
"124";"nesøy";2003;1;14;22;1.57142857142857;8;11;0;0;11
"125";"nesøy";2004;1;22;28;1.27272727272727;6;11;8;11;39
"126";"nesøy";2005;1;28;21;0.75;-7;9;3;6;56
"127";"nesøy";2006;1;21;12;0.571428571428571;-9;10;7;16;64
"128";"nesøy";2007;1;12;21;1.75;9;10;4;7;44
"129";"nesøy";2008;1;21;17;0.80952380952381;-4;10;3;7;31
"130";"nesøy";2009;1;17;17;1;0;9;10;19;35
"131";"nesøy";2010;1;17;35;2.05882352941176;18;13;13;22;44
"132";"nesøy";2011;1;35;23;0.657142857142857;-12;9;10;18;61
"133";"nesøy";2012;1;23;9;0.391304347826087;-14;5;7;12;50
"134";"nesøy";2013;1;9;7;0.777777777777778;-2;7;1;8;19
"135";"nesøy";2014;1;7;6;0.857142857142857;-1;7;1;7;28
"136";"nesøy";2015;1;6;12;2;6;6;2;2;8
"137";"nesøy";2016;1;12;11;0.916666666666667;-1;4;7;10;17
"138";"nesøy";2017;1;11;29;2.63636363636364;18;8;14;28;43
"139";"nesøy";2018;1;29;8;0.275862068965517;-21;5;4;20;96
"140";"nesøy";2019;1;8;71;8.875;63;6;7;8;31
"141";"selvær";1999;0;92;5;0.0543478260869565;-87;3;1;28;113
"142";"selvær";2003;0;19;40;2.10526315789474;21;15;18;22;49
"143";"selvær";2004;0;40;53;1.325;13;33;20;28;82
"144";"selvær";2005;0;53;47;0.886792452830189;-6;33;8;24;89
"145";"selvær";2006;0;47;60;1.27659574468085;13;36;16;25;74
"146";"selvær";2007;0;60;89;1.48333333333333;29;40;16;30;98
"147";"selvær";2008;0;89;45;0.50561797752809;-44;48;12;33;70
"148";"selvær";2009;0;45;55;1.22222222222222;10;39;10;23;91
"149";"selvær";2010;0;55;89;1.61818181818182;34;43;29;40;91
"150";"selvær";2011;0;89;50;0.561797752808989;-39;26;17;63;127
"151";"selvær";2012;0;50;45;0.9;-5;26;15;27;40
"152";"selvær";2013;0;45;41;0.911111111111111;-4;25;24;49;85
"153";"selvær";2014;0;41;62;1.51219512195122;21;31;31;71;128
"154";"selvær";2015;0;62;46;0.741935483870968;-16;20;13;61;129
"155";"selvær";2016;0;46;25;0.543478260869565;-21;17;8;38;63
"156";"selvær";2017;0;25;31;1.24;6;14;16;38;51
"157";"selvær";2018;0;31;14;0.451612903225806;-17;12;4;48;148
"158";"selvær";2019;0;14;45;3.21428571428571;31;7;9;32;40
"159";"sleneset";1999;0;75;60;0.8;-15;28;10;26;77
"160";"sleneset";2004;0;43;37;0.86046511627907;-6;19;5;8;59
"161";"sleneset";2005;0;37;42;1.13513513513514;5;15;7;15;64
"162";"sleneset";2006;0;42;52;1.23809523809524;10;21;12;19;49
"163";"sleneset";2007;0;52;37;0.711538461538462;-15;18;12;20;78
"164";"sleneset";2008;0;37;23;0.621621621621622;-14;10;4;17;38
"165";"sleneset";2009;0;23;41;1.78260869565217;18;13;11;27;81
"166";"sleneset";2010;0;41;47;1.14634146341463;6;20;21;41;68
"167";"sleneset";2011;0;47;26;0.553191489361702;-21;18;8;26;70
"168";"sleneset";2012;0;26;47;1.80769230769231;21;22;27;35;95
"169";"sleneset";2013;0;47;36;0.765957446808511;-11;17;19;47;75
"170";"sleneset";2014;0;36;47;1.30555555555556;11;18;19;58;92
"171";"sleneset";2015;0;47;50;1.06382978723404;3;21;16;27;68
"172";"sleneset";2016;0;50;61;1.22;11;19;23;48;85
"173";"sleneset";2017;0;61;38;0.622950819672131;-23;20;26;57;91
"174";"sleneset";2018;0;38;20;0.526315789473684;-18;12;13;42;173
"175";"sleneset";2019;0;20;45;2.25;25;13;32;61;91
"176";"træna";1999;0;77;14;0.181818181818182;-63;6;3;21;85
"177";"træna";2003;0;8;50;6.25;42;3;13;29;78
"178";"træna";2004;0;50;57;1.14;7;16;11;26;79
"179";"træna";2005;0;57;76;1.33333333333333;19;15;15;66;125
"180";"træna";2006;0;76;88;1.15789473684211;12;29;10;26;92
"181";"træna";2007;0;88;28;0.318181818181818;-60;13;7;73;163
"182";"træna";2008;0;28;57;2.03571428571429;29;21;9;31;57
"183";"træna";2009;0;57;50;0.87719298245614;-7;24;11;60;107
"184";"træna";2010;0;50;113;2.26;63;30;30;41;78
"185";"træna";2011;0;113;54;0.47787610619469;-59;32;9;78;134
"186";"træna";2012;0;54;69;1.27777777777778;15;28;13;35;56
"187";"træna";2013;0;69;83;1.20289855072464;14;34;25;73;131
"188";"træna";2014;0;83;145;1.74698795180723;62;52;39;96;161
"189";"træna";2015;0;145;127;0.875862068965517;-18;56;33;108;181
"190";"træna";2016;0;127;79;0.622047244094488;-48;43;22;91;132
"191";"træna";2017;0;79;92;1.16455696202532;13;38;37;82;137
"192";"træna";2018;0;92;69;0.75;-23;31;6;65;170
